Company Name,ISIN,LEI,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Long term - Target Status,Long term - Target Classification,Long term - Target Year,Net-Zero Committed,Net-Zero Year,Organization Type,BA1.5,BA1.5 Date,Location,Region,Sector,Date,Target,Target Classification,Extension
& Co.,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Denmark,Europe,Media,01/01/2024,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ & Co. commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
(ACIP) Alexandria Company for Industrial Packages,,,Targets Set,Well-below 2°C,2030,,,,No,,Small or Medium Enterprise,No,,Egypt,Africa,Containers and Packaging,01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ (ACIP) Alexandria Company for Industrial Packages commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,
"10 to 2 Consulting, LLC",,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United States of America (USA),North America,Professional Services,01/12/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ 10 to 2 Consulting, LLC commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
100 Percent Group Limited,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,"Trading Companies and Distributors, and Commercial Services and Supplies",01/07/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ 100 Percent Group Limited commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
2 Sisters Food Group,,,Committed,,,,,,Yes,,Company,Yes,01/11/2022,United Kingdom (UK),Europe,Food and Beverage Processing,01/12/2022,,,
24 Ltd,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,"Trading Companies and Distributors, and Commercial Services and Supplies",01/02/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ 24 Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
2degrees,,72450039D2LOPG0Z2I07,Targets Set,1.5°C,"FY2028, FY2030",,,,No,,Company,No,,New Zealand,Oceania,Telecommunication Services,01/10/2023,"2degrees commits to reduce absolute scope 1 and 2 GHG emissions 43% by FY2030 from a FY2022 base year. 2degrees also commits that 75% of its suppliers by spend, covering purchased goods and services, and capital goods, will have science-based targets by FY2028.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
360 DEGREE CLOUD TECHNOLOGIES PVT LTD,,9845000F94F87A66H368,Committed,,,,,,Yes,,Company,No,,India,Asia,Software and Services,01/05/2023,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to .,
3B-Fibreglass,,529900UNERQOV61CA912,Removed,,,,,,Yes,,Company,Yes,01/09/2021,Belgium,Europe,"Consumer Durables, Household and Personal Products",01/10/2021,,,
3i Group plc,GB00B1YW4409,35GDVHRBMFE7NWATNM84,Committed,,,,,,No,,Financial Institution,No,,United Kingdom (UK),Europe,"Banks, Diverse Financials, Insurance",01/04/2023,,,
